Headlines,Time,Description,combined_text,clean_text
Cramer on the week ahead: Watch for Fed signals and Trump's Twitter," 7:34  PM ET Fri, 14 June 2019","""The most important thing to watch next week is Twitter — we're watching for a president who slags China regularly,"" Jim Cramer says.","Cramer on the week ahead: Watch for Fed signals and Trump's Twitter  7:34  PM ET Fri, 14 June 2019 ""The most important thing to watch next week is Twitter — we're watching for a president who slags China regularly,"" Jim Cramer says.",cramer week ahead watch fed signals trump twitter pm et fri june important thing watch next week twitter watching president slags china regularly jim cramer says
Cramer Remix: Thermo Fisher and Danaher are in a sweet spot to buy," 7:49  PM ET Thu, 13 June 2019","The bull is raging in the life science space, and Jim Cramer breaks down why these two stocks could have even more room to run.","Cramer Remix: Thermo Fisher and Danaher are in a sweet spot to buy  7:49  PM ET Thu, 13 June 2019 The bull is raging in the life science space, and Jim Cramer breaks down why these two stocks could have even more room to run.",cramer remix thermo fisher danaher sweet spot buy pm et thu june bull raging life science space jim cramer breaks two stocks could even room run
Dexcom CEO teases a diabetes collaboration with Apple Watch," 7:42  PM ET Thu, 13 June 2019","Dexcom CEO Kevin Sayer also says its partnership with an Alphabet subsidiary will be produce a more advanced device ""for the ages.""","Dexcom CEO teases a diabetes collaboration with Apple Watch  7:42  PM ET Thu, 13 June 2019 Dexcom CEO Kevin Sayer also says its partnership with an Alphabet subsidiary will be produce a more advanced device ""for the ages.""",dexcom ceo teases diabetes collaboration apple watch pm et thu june dexcom ceo kevin sayer also says partnership alphabet subsidiary produce advanced device ages
Cramer's lightning round: Ball is in a duopoly. It's a 'total windfall'," 7:59  PM ET Thu, 13 June 2019",Jim Cramer takes calls and delivers answers on callers' stock picks of the day in rapid speed.,"Cramer's lightning round: Ball is in a duopoly. It's a 'total windfall'  7:59  PM ET Thu, 13 June 2019 Jim Cramer takes calls and delivers answers on callers' stock picks of the day in rapid speed.",cramer lightning round ball duopoly total windfall pm et thu june jim cramer takes calls delivers answers callers stock picks day rapid speed
Cramer: Shares of Michael Kors' parent company are cheap — go with the bulls," 7:41  PM ET Thu, 13 June 2019","The Michael Kors parent held an analyst meeting earlier this week in which management laid out its growth plans, but it yielded conflicting opinions from the community.","Cramer: Shares of Michael Kors' parent company are cheap — go with the bulls  7:41  PM ET Thu, 13 June 2019 The Michael Kors parent held an analyst meeting earlier this week in which management laid out its growth plans, but it yielded conflicting opinions from the community.",cramer shares michael kors parent company cheap go bulls pm et thu june michael kors parent held analyst meeting earlier week management laid growth plans yielded conflicting opinions community
Jim Cramer reviews which retail stocks are working and which you should stay away from," 7:36  PM ET Thu, 13 June 2019","""There's a market for high-end luxury goods and low-end mass market merchandise, but right now there's not much space in between,"" the ""Mad Money"" host says.","Jim Cramer reviews which retail stocks are working and which you should stay away from  7:36  PM ET Thu, 13 June 2019 ""There's a market for high-end luxury goods and low-end mass market merchandise, but right now there's not much space in between,"" the ""Mad Money"" host says.",jim cramer reviews retail stocks working stay away pm et thu june market high end luxury goods low end mass market merchandise right much space mad money host says
Cramer Remix: Put new IPO Revolve on your shopping list," 8:13  PM ET Wed, 12 June 2019",Jim Cramer breaks down Revolve's recent IPO and urges investors to wait for a pullback before getting in on the stock.,"Cramer Remix: Put new IPO Revolve on your shopping list  8:13  PM ET Wed, 12 June 2019 Jim Cramer breaks down Revolve's recent IPO and urges investors to wait for a pullback before getting in on the stock.",cramer remix put new ipo revolve shopping list pm et wed june jim cramer breaks revolve recent ipo urges investors wait pullback getting stock
Cramer's lightning round: This stock is just too cheap. You should buy," 7:39  PM ET Wed, 12 June 2019",Jim Cramer takes calls and gives his thoughts about viewers' favorite stock picks of the day.,"Cramer's lightning round: This stock is just too cheap. You should buy  7:39  PM ET Wed, 12 June 2019 Jim Cramer takes calls and gives his thoughts about viewers' favorite stock picks of the day.",cramer lightning round stock cheap buy pm et wed june jim cramer takes calls gives thoughts viewers favorite stock picks day
Leading mortgage lender Quicken Loans sees record loan volumes," 7:48  PM ET Wed, 12 June 2019","""We're having record months. This quarter will be the largest quarter in the company's history,"" Quicken Loans CEO Jay Farner says.","Leading mortgage lender Quicken Loans sees record loan volumes  7:48  PM ET Wed, 12 June 2019 ""We're having record months. This quarter will be the largest quarter in the company's history,"" Quicken Loans CEO Jay Farner says.",leading mortgage lender quicken loans sees record loan volumes pm et wed june record months quarter largest quarter company history quicken loans ceo jay farner says
"Cramer: Hershey's turnaround came at the right time, and sent the stock surging 28%"," 7:47  PM ET Wed, 12 June 2019","""I salute CEO Michele Buck for masterminding this tremendous turnaround ... but wait for a pullback,"" Jim Cramer says.","Cramer: Hershey's turnaround came at the right time, and sent the stock surging 28%  7:47  PM ET Wed, 12 June 2019 ""I salute CEO Michele Buck for masterminding this tremendous turnaround ... but wait for a pullback,"" Jim Cramer says.",cramer hershey turnaround came right time sent stock surging pm et wed june salute ceo michele buck masterminding tremendous turnaround wait pullback jim cramer says
Cramer: Here's how to spot the market bottom and maximize returns in your portfolio," 7:45  PM ET Wed, 12 June 2019","""You typically don't get a real bottom until the estimate cuts have been made, the stocks been softened up, and the clueless hot money has abandoned it,"" Jim Cramer says.","Cramer: Here's how to spot the market bottom and maximize returns in your portfolio  7:45  PM ET Wed, 12 June 2019 ""You typically don't get a real bottom until the estimate cuts have been made, the stocks been softened up, and the clueless hot money has abandoned it,"" Jim Cramer says.",cramer spot market bottom maximize returns portfolio pm et wed june typically get real bottom estimate cuts made stocks softened clueless hot money abandoned jim cramer says
,,,  ,
Cramer Remix: These stocks should be bought in this environment," 7:50  PM ET Tue, 11 June 2019",Jim Cramer reveals why blue chip stocks like Walmart and Proctor and Gamble may work best in this market.,"Cramer Remix: These stocks should be bought in this environment  7:50  PM ET Tue, 11 June 2019 Jim Cramer reveals why blue chip stocks like Walmart and Proctor and Gamble may work best in this market.",cramer remix stocks bought environment pm et tue june jim cramer reveals blue chip stocks like walmart proctor gamble may work best market
Cramer's lightning round: Yeti is 'undervalued' and a 'long-time hold'," 7:02  PM ET Tue, 11 June 2019",Jim Cramer listens to callers and delivers his thoughts on their stock picks of the day in rapid speed.,"Cramer's lightning round: Yeti is 'undervalued' and a 'long-time hold'  7:02  PM ET Tue, 11 June 2019 Jim Cramer listens to callers and delivers his thoughts on their stock picks of the day in rapid speed.",cramer lightning round yeti undervalued long time hold pm et tue june jim cramer listens callers delivers thoughts stock picks day rapid speed
"The charts warn that stocks are due for a pullback, Jim Cramer says"," 7:18  PM ET Tue, 11 June 2019","Because the Volatility Index has not gone lower, ""you need to be careful when you see the averages rallying like this morning,"" Jim Cramer says.","The charts warn that stocks are due for a pullback, Jim Cramer says  7:18  PM ET Tue, 11 June 2019 Because the Volatility Index has not gone lower, ""you need to be careful when you see the averages rallying like this morning,"" Jim Cramer says.",charts warn stocks due pullback jim cramer says pm et tue june volatility index gone lower need careful see averages rallying like morning jim cramer says
Tableau CEO breaks down how the company will operate within Salesforce," 7:17  PM ET Tue, 11 June 2019","""Our engineers can't wait to pop the hood on those and check out what things that we might use on behalf of our customers,"" CEO Adam Selipsky says.","Tableau CEO breaks down how the company will operate within Salesforce  7:17  PM ET Tue, 11 June 2019 ""Our engineers can't wait to pop the hood on those and check out what things that we might use on behalf of our customers,"" CEO Adam Selipsky says.",tableau ceo breaks company operate within salesforce pm et tue june engineers wait pop hood check things might use behalf customers ceo adam selipsky says
"Cramer: 'The bull is fatigued,' froth is easing up and the market is ready to recharge"," 7:16  PM ET Tue, 11 June 2019","""We've had a colossal rally. After this kind of run, the bull is fatigued,"" the ""Mad Money"" host says.","Cramer: 'The bull is fatigued,' froth is easing up and the market is ready to recharge  7:16  PM ET Tue, 11 June 2019 ""We've had a colossal rally. After this kind of run, the bull is fatigued,"" the ""Mad Money"" host says.",cramer bull fatigued froth easing market ready recharge pm et tue june colossal rally kind run bull fatigued mad money host says
"The S&P 500 could fall to the 2,600 area, says strategist"," 5:00  AM ET Tue, 11 June 2019","Shyam Devani of Citi discusses the timing of a possible Fed rate cut. He also says, if the S&P 500 falls to 2,600, it will be something the Federal Reserve can't ignore.","The S&P 500 could fall to the 2,600 area, says strategist  5:00  AM ET Tue, 11 June 2019 Shyam Devani of Citi discusses the timing of a possible Fed rate cut. He also says, if the S&P 500 falls to 2,600, it will be something the Federal Reserve can't ignore.",p could fall area says strategist et tue june shyam devani citi discusses timing possible fed rate cut also says p falls something federal reserve ignore
,,,  ,
Cramer Remix: The June Swoon talk is useless," 7:54  PM ET Mon, 10 June 2019",Jim Cramer breaks down the old market adage and explains why the market is signaling something different.,"Cramer Remix: The June Swoon talk is useless  7:54  PM ET Mon, 10 June 2019 Jim Cramer breaks down the old market adage and explains why the market is signaling something different.",cramer remix june swoon talk useless pm et mon june jim cramer breaks old market adage explains market signaling something different
Cramer's lightning round: Don't buy Roku here — it's due for pullback," 7:30  PM ET Mon, 10 June 2019",Jim Cramer listens to callers and gives his thoughts about their stock picks of the day in rapid speed.,"Cramer's lightning round: Don't buy Roku here — it's due for pullback  7:30  PM ET Mon, 10 June 2019 Jim Cramer listens to callers and gives his thoughts about their stock picks of the day in rapid speed.",cramer lightning round buy roku due pullback pm et mon june jim cramer listens callers gives thoughts stock picks day rapid speed
Salesforce's Marc Benioff defends Tableau deal: They 'didn't want our cash'," 7:22  PM ET Mon, 10 June 2019","""Tableau didn't want our cash — they wanted our equity, because they know that the real value here is in the company that we're creating together,"" Benioff tells Jim Cramer in an interview.","Salesforce's Marc Benioff defends Tableau deal: They 'didn't want our cash'  7:22  PM ET Mon, 10 June 2019 ""Tableau didn't want our cash — they wanted our equity, because they know that the real value here is in the company that we're creating together,"" Benioff tells Jim Cramer in an interview.",salesforce marc benioff defends tableau deal want cash pm et mon june tableau want cash wanted equity know real value company creating together benioff tells jim cramer interview
Cramer: Beware of froth — 'it may be too late to put new money to work'," 7:19  PM ET Mon, 10 June 2019","""When you see people crowding into stocks just because they're going up, it's what I call a bad sign,"" Jim Cramer says.","Cramer: Beware of froth — 'it may be too late to put new money to work'  7:19  PM ET Mon, 10 June 2019 ""When you see people crowding into stocks just because they're going up, it's what I call a bad sign,"" Jim Cramer says.",cramer beware froth may late put new money work pm et mon june see people crowding stocks going call bad sign jim cramer says
Cramer Remix: I don't like the fossil fuel stocks," 8:01  PM ET Fri,  7 June 2019",Jim Cramer breaks down his feelings on the oil and gas space.,"Cramer Remix: I don't like the fossil fuel stocks  8:01  PM ET Fri,  7 June 2019 Jim Cramer breaks down his feelings on the oil and gas space.",cramer remix like fossil fuel stocks pm et fri june jim cramer breaks feelings oil gas space
Cramer's lightning round: Tesla is just 'too darn hard' to recommend," 7:42  PM ET Fri,  7 June 2019",Jim Cramer takes calls and delivers his thoughts on callers' stock picks of the day.,"Cramer's lightning round: Tesla is just 'too darn hard' to recommend  7:42  PM ET Fri,  7 June 2019 Jim Cramer takes calls and delivers his thoughts on callers' stock picks of the day.",cramer lightning round tesla darn hard recommend pm et fri june jim cramer takes calls delivers thoughts callers stock picks day
Cramer gives 'two cheers' to Zoom and Beyond Meat," 6:44  PM ET Tue, 30 July 2019",The newly-public companies saw their stocks rally by double-digits after beating Wall Street expectations in their first earnings reports since their recent IPOs.,"Cramer gives 'two cheers' to Zoom and Beyond Meat  6:44  PM ET Tue, 30 July 2019 The newly-public companies saw their stocks rally by double-digits after beating Wall Street expectations in their first earnings reports since their recent IPOs.",cramer gives two cheers zoom beyond meat pm et tue july newly public companies saw stocks rally double digits beating wall street expectations first earnings reports since recent ipos
Cramer ranks his top 7 video streaming services," 6:59  PM ET Fri,  7 June 2019","""With so many media companies launching their own subscription streaming services, we need to start thinking about winners and losers here,"" the ""Mad Money"" host says.","Cramer ranks his top 7 video streaming services  6:59  PM ET Fri,  7 June 2019 ""With so many media companies launching their own subscription streaming services, we need to start thinking about winners and losers here,"" the ""Mad Money"" host says.",cramer ranks top video streaming services pm et fri june many media companies launching subscription streaming services need start thinking winners losers mad money host says
Cramer's week ahead: The market can go higher if Trump makes trade progress with Mexico," 6:58  PM ET Fri,  7 June 2019","""I bet this market can go higher still as long as the President works out something with Mexico over the weekend,"" Jim Cramer says.","Cramer's week ahead: The market can go higher if Trump makes trade progress with Mexico  6:58  PM ET Fri,  7 June 2019 ""I bet this market can go higher still as long as the President works out something with Mexico over the weekend,"" Jim Cramer says.",cramer week ahead market go higher trump makes trade progress mexico pm et fri june bet market go higher still long president works something mexico weekend jim cramer says
"Salesforce CEO supports probing big tech, says tech must 'get the values straight'"," 4:17  PM ET Fri,  7 June 2019","""We are at a point in our industry where enough is enough,"" Marc Benioff says. We must ""get the values straight with these tech companies.""","Salesforce CEO supports probing big tech, says tech must 'get the values straight'  4:17  PM ET Fri,  7 June 2019 ""We are at a point in our industry where enough is enough,"" Marc Benioff says. We must ""get the values straight with these tech companies.""",salesforce ceo supports probing big tech says tech must get values straight pm et fri june point industry enough enough marc benioff says must get values straight tech companies
Art Cashin: Markets expect Trump's Mexico tariff to last only about a week,"10:24  AM ET Thu,  6 June 2019","""The market is almost willing to tolerate it being imposed, but it will not tolerate it if it lasts,"" says UBS' Cashin.","Art Cashin: Markets expect Trump's Mexico tariff to last only about a week 10:24  AM ET Thu,  6 June 2019 ""The market is almost willing to tolerate it being imposed, but it will not tolerate it if it lasts,"" says UBS' Cashin.",art cashin markets expect trump mexico tariff last week et thu june market almost willing tolerate imposed tolerate lasts says ubs cashin
Cramer Remix: Estee Lauder is the only company doing 'fine' in China,"11:09  AM ET Thu,  6 June 2019","Jim Cramer reveals how Estee Lauder is finding success worldwide, even as retail slows down.","Cramer Remix: Estee Lauder is the only company doing 'fine' in China 11:09  AM ET Thu,  6 June 2019 Jim Cramer reveals how Estee Lauder is finding success worldwide, even as retail slows down.",cramer remix estee lauder company fine china et thu june jim cramer reveals estee lauder finding success worldwide even retail slows
"Cramer's lightning round: Moderna is speculative, but I like them"," 7:16  PM ET Wed,  5 June 2019",Jim Cramer takes calls and delivers answers to viewers' stock picks of the day.,"Cramer's lightning round: Moderna is speculative, but I like them  7:16  PM ET Wed,  5 June 2019 Jim Cramer takes calls and delivers answers to viewers' stock picks of the day.",cramer lightning round moderna speculative like pm et wed june jim cramer takes calls delivers answers viewers stock picks day
Cramer breaks down why FleetCor is a 'terrific' buy-and-hold fintech play," 7:21  PM ET Wed,  5 June 2019","""FleetCor has a superb long-term story, and the fintech stocks are very hot,"" the ""Mad Money"" host says.","Cramer breaks down why FleetCor is a 'terrific' buy-and-hold fintech play  7:21  PM ET Wed,  5 June 2019 ""FleetCor has a superb long-term story, and the fintech stocks are very hot,"" the ""Mad Money"" host says.",cramer breaks fleetcor terrific buy hold fintech play pm et wed june fleetcor superb long term story fintech stocks hot mad money host says
,,,  ,
"Investors are betting a recession is coming, Jim Cramer says"," 7:20  PM ET Wed,  5 June 2019","""[Defensive stocks] can do just fine during a slowdown,"" the ""Mad Money"" host says.","Investors are betting a recession is coming, Jim Cramer says  7:20  PM ET Wed,  5 June 2019 ""[Defensive stocks] can do just fine during a slowdown,"" the ""Mad Money"" host says.",investors betting recession coming jim cramer says pm et wed june defensive stocks fine slowdown mad money host says
"It's not time for the Fed to cut yet, says Citi strategist"," 3:31  AM ET Wed,  5 June 2019","Ken Peng of Citi Private Bank says, with the S&P 500 only around 6% below its all-time peak, it's not yet time for the Fed to cut rates or for U.S. President Donald Trump to turn more friendly on trade.","It's not time for the Fed to cut yet, says Citi strategist  3:31  AM ET Wed,  5 June 2019 Ken Peng of Citi Private Bank says, with the S&P 500 only around 6% below its all-time peak, it's not yet time for the Fed to cut rates or for U.S. President Donald Trump to turn more friendly on trade.",time fed cut yet says citi strategist et wed june ken peng citi private bank says p around time peak yet time fed cut rates u president donald trump turn friendly trade
"'Exploit the volatility' in the markets, says Wells Fargo"," 1:50  AM ET Wed,  5 June 2019","Given the ongoing trade disputes, the U.S. market is likely to be range bound for a while, says Kirk Hartman of Wells Fargo Asset Management. He also discusses which stocks investors could consider buying.","'Exploit the volatility' in the markets, says Wells Fargo  1:50  AM ET Wed,  5 June 2019 Given the ongoing trade disputes, the U.S. market is likely to be range bound for a while, says Kirk Hartman of Wells Fargo Asset Management. He also discusses which stocks investors could consider buying.",exploit volatility markets says wells fargo et wed june given ongoing trade disputes u market likely range bound says kirk hartman wells fargo asset management also discusses stocks investors could consider buying
Cramer Remix: Why big tech stocks are out of luck here,"11:27  PM ET Tue,  4 June 2019",Jim Cramer explains why woes could worsen for four tech titans.,"Cramer Remix: Why big tech stocks are out of luck here 11:27  PM ET Tue,  4 June 2019 Jim Cramer explains why woes could worsen for four tech titans.",cramer remix big tech stocks luck pm et tue june jim cramer explains woes could worsen four tech titans
Cramer's lightning round: I should've gotten behind this stock when it was lower," 7:29  PM ET Tue,  4 June 2019",Jim Cramer takes calls and delivers his responses in rapid speed to viewers' stock picks of the day.,"Cramer's lightning round: I should've gotten behind this stock when it was lower  7:29  PM ET Tue,  4 June 2019 Jim Cramer takes calls and delivers his responses in rapid speed to viewers' stock picks of the day.",cramer lightning round gotten behind stock lower pm et tue june jim cramer takes calls delivers responses rapid speed viewers stock picks day
Salesforce's Benioff: 'Massive' digital transformation is driving our growth," 9:54  AM ET Wed,  5 June 2019","The digital customer transformation ""is as big as Y2K was for the tech industry,"" CEO Marc Benioff says.","Salesforce's Benioff: 'Massive' digital transformation is driving our growth  9:54  AM ET Wed,  5 June 2019 The digital customer transformation ""is as big as Y2K was for the tech industry,"" CEO Marc Benioff says.",salesforce benioff massive digital transformation driving growth et wed june digital customer transformation big k tech industry ceo marc benioff says
,,,  ,
Chipotle CFO shrugs off potential $15 million hit from Mexican tariffs — This 'won't impact us'," 7:33  PM ET Tue,  4 June 2019","""[The tariffs] is an impact of about $15 million this year, a little bit more next year,"" CFO Jack Hartung says.","Chipotle CFO shrugs off potential $15 million hit from Mexican tariffs — This 'won't impact us'  7:33  PM ET Tue,  4 June 2019 ""[The tariffs] is an impact of about $15 million this year, a little bit more next year,"" CFO Jack Hartung says.",chipotle cfo shrugs potential million hit mexican tariffs impact us pm et tue june tariffs impact million year little bit next year cfo jack hartung says
"'Don't get overconfident' after Tuesday's big rally, Jim Cramer says"," 7:32  PM ET Tue,  4 June 2019","""Remember, good things can still happen, but don't get overconfident, because bad things can happen, too,"" Jim Cramer says.","'Don't get overconfident' after Tuesday's big rally, Jim Cramer says  7:32  PM ET Tue,  4 June 2019 ""Remember, good things can still happen, but don't get overconfident, because bad things can happen, too,"" Jim Cramer says.",get overconfident tuesday big rally jim cramer says pm et tue june remember good things still happen get overconfident bad things happen jim cramer says
Tesla just finished its best day of the year," 6:05  PM ET Tue,  4 June 2019","Tesla is still the worst performer of 2019 on the Nasdaq 100 Index, down 42% for the year.","Tesla just finished its best day of the year  6:05  PM ET Tue,  4 June 2019 Tesla is still the worst performer of 2019 on the Nasdaq 100 Index, down 42% for the year.",tesla finished best day year pm et tue june tesla still worst performer nasdaq index year
Cramer Remix: Put VF Corp on your shopping list," 8:20  PM ET Mon,  3 June 2019",Jim Cramer breaks down VF Corp's performance over the last year and reveals the stock will be a more compelling buy towards the end of the summer.,"Cramer Remix: Put VF Corp on your shopping list  8:20  PM ET Mon,  3 June 2019 Jim Cramer breaks down VF Corp's performance over the last year and reveals the stock will be a more compelling buy towards the end of the summer.",cramer remix put vf corp shopping list pm et mon june jim cramer breaks vf corp performance last year reveals stock compelling buy towards end summer
Cramer's lightning round: 'Wendy's is one of my absolute favorites'," 8:24  PM ET Mon,  3 June 2019",Jim Cramer takes calls and delivers his thoughts on callers' stock picks of the day.,"Cramer's lightning round: 'Wendy's is one of my absolute favorites'  8:24  PM ET Mon,  3 June 2019 Jim Cramer takes calls and delivers his thoughts on callers' stock picks of the day.",cramer lightning round wendy one absolute favorites pm et mon june jim cramer takes calls delivers thoughts callers stock picks day
Wingstop CEO says digital technology gives the chicken wing chain an edge over competitors," 7:39  PM ET Mon,  3 June 2019","A digital transaction tends to have almost a $5 higher average ticket, which means better return on investment, CEO Charles Morrison says.","Wingstop CEO says digital technology gives the chicken wing chain an edge over competitors  7:39  PM ET Mon,  3 June 2019 A digital transaction tends to have almost a $5 higher average ticket, which means better return on investment, CEO Charles Morrison says.",wingstop ceo says digital technology gives chicken wing chain edge competitors pm et mon june digital transaction tends almost higher average ticket means better return investment ceo charles morrison says
"Brinks CEO: $160 billion cannabis industry, much of it still illegal, is a 'beautiful opportunity'"," 7:38  PM ET Mon,  3 June 2019","Cannabis is going to be a booming global industry ... ""there's a huge opportunity and demand out there,"" Brinks CEO Douglas Pertz says.","Brinks CEO: $160 billion cannabis industry, much of it still illegal, is a 'beautiful opportunity'  7:38  PM ET Mon,  3 June 2019 Cannabis is going to be a booming global industry ... ""there's a huge opportunity and demand out there,"" Brinks CEO Douglas Pertz says.",brinks ceo billion cannabis industry much still illegal beautiful opportunity pm et mon june cannabis going booming global industry huge opportunity demand brinks ceo douglas pertz says
"Cramer: Trump's going after business, and that's bad for stocks"," 7:36  PM ET Mon,  3 June 2019","""The president's whims have trumped his pro-business attitude ... [and] investors are going to pay less"" for stocks, Jim Cramer says.","Cramer: Trump's going after business, and that's bad for stocks  7:36  PM ET Mon,  3 June 2019 ""The president's whims have trumped his pro-business attitude ... [and] investors are going to pay less"" for stocks, Jim Cramer says.",cramer trump going business bad stocks pm et mon june president whims trumped pro business attitude investors going pay less stocks jim cramer says
Cramer Remix: Presume Trump will go through with tariffs on Mexico," 8:00  PM ET Fri, 31 May 2019",Jim Cramer warns CEOs to prepare their companies for a hit after President Trump's latest call for tariffs.,"Cramer Remix: Presume Trump will go through with tariffs on Mexico  8:00  PM ET Fri, 31 May 2019 Jim Cramer warns CEOs to prepare their companies for a hit after President Trump's latest call for tariffs.",cramer remix presume trump go tariffs mexico pm et fri may jim cramer warns ceos prepare companies hit president trump latest call tariffs
Cramer's lightning round: Aramark is in the 'penalty box'," 7:44  PM ET Fri, 31 May 2019",Jim Cramer takes calls and delivers answers on callers' questions about their stock picks of the day.,"Cramer's lightning round: Aramark is in the 'penalty box'  7:44  PM ET Fri, 31 May 2019 Jim Cramer takes calls and delivers answers on callers' questions about their stock picks of the day.",cramer lightning round aramark penalty box pm et fri may jim cramer takes calls delivers answers callers questions stock picks day
"IBM CEO: AI-driven jobs are coming, and businesses need to prepare a new generation of workers"," 7:17  PM ET Fri, 31 May 2019","""We build these technologies so I think we have a responsibility … to prepare society for these technologies,"" CEO Ginni Rometty says.","IBM CEO: AI-driven jobs are coming, and businesses need to prepare a new generation of workers  7:17  PM ET Fri, 31 May 2019 ""We build these technologies so I think we have a responsibility … to prepare society for these technologies,"" CEO Ginni Rometty says.",ibm ceo ai driven jobs coming businesses need prepare new generation workers pm et fri may build technologies think responsibility prepare society technologies ceo ginni rometty says
"Okta CEO says cloud company has a 'close eye' on tariffs, but for now exposure is minimal"," 7:11  PM ET Fri, 31 May 2019","""We do think about powering business globally, so it's in everyone's interest I think to have as much free trade — as much economic commerce — as possible,"" Todd McKinnon says.","Okta CEO says cloud company has a 'close eye' on tariffs, but for now exposure is minimal  7:11  PM ET Fri, 31 May 2019 ""We do think about powering business globally, so it's in everyone's interest I think to have as much free trade — as much economic commerce — as possible,"" Todd McKinnon says.",okta ceo says cloud company close eye tariffs exposure minimal pm et fri may think powering business globally everyone interest think much free trade much economic commerce possible todd mckinnon says
Cramer's week ahead: Only game-changing data can counter Trump's surprise tariffs on Mexico," 7:09  PM ET Fri, 31 May 2019","""In an era where all that matters is who's next for punishment, we need to be very cautious,"" Jim Cramer says.","Cramer's week ahead: Only game-changing data can counter Trump's surprise tariffs on Mexico  7:09  PM ET Fri, 31 May 2019 ""In an era where all that matters is who's next for punishment, we need to be very cautious,"" Jim Cramer says.",cramer week ahead game changing data counter trump surprise tariffs mexico pm et fri may era matters next punishment need cautious jim cramer says
Cramer Remix: Spotting stocks that will rise from the retail wreckage," 8:36  PM ET Thu, 30 May 2019",Jim Cramer explains how to find retail stories that work in a difficult environment.,"Cramer Remix: Spotting stocks that will rise from the retail wreckage  8:36  PM ET Thu, 30 May 2019 Jim Cramer explains how to find retail stories that work in a difficult environment.",cramer remix spotting stocks rise retail wreckage pm et thu may jim cramer explains find retail stories work difficult environment
,,,  ,
Pioneer CEO says the natural gas company avoided a downturn in prices by shipping out to California," 8:01  PM ET Thu, 30 May 2019","""Pioneer has taken our gas to California, so we're not seeing any of the negative prices,"" Pioneer Natural Resources CEO Scott Sheffield says.","Pioneer CEO says the natural gas company avoided a downturn in prices by shipping out to California  8:01  PM ET Thu, 30 May 2019 ""Pioneer has taken our gas to California, so we're not seeing any of the negative prices,"" Pioneer Natural Resources CEO Scott Sheffield says.",pioneer ceo says natural gas company avoided downturn prices shipping california pm et thu may pioneer taken gas california seeing negative prices pioneer natural resources ceo scott sheffield says
Canopy expects to see the next cannabis breakthrough in 24 months," 8:04  PM ET Thu, 30 May 2019","""That's just enough time to use all of our IP and brands to really get ahead,"" Canopy Growth CEO Bruce Linton says about its acquisition of Acreage.","Canopy expects to see the next cannabis breakthrough in 24 months  8:04  PM ET Thu, 30 May 2019 ""That's just enough time to use all of our IP and brands to really get ahead,"" Canopy Growth CEO Bruce Linton says about its acquisition of Acreage.",canopy expects see next cannabis breakthrough months pm et thu may enough time use ip brands really get ahead canopy growth ceo bruce linton says acquisition acreage
Not sure if a stock is worth buying at current levels? Follow Jim Cramer's checklist," 7:59  PM ET Thu, 30 May 2019","""Money managers are desperate to avoid owning companies that could be facing estimate cuts, and this checklist is what protects them,"" Jim Cramer says.","Not sure if a stock is worth buying at current levels? Follow Jim Cramer's checklist  7:59  PM ET Thu, 30 May 2019 ""Money managers are desperate to avoid owning companies that could be facing estimate cuts, and this checklist is what protects them,"" Jim Cramer says.",sure stock worth buying current levels follow jim cramer checklist pm et thu may money managers desperate avoid owning companies could facing estimate cuts checklist protects jim cramer says
Cramer Remix: I think this is a great spec play that could get acquired," 8:21  PM ET Wed, 29 May 2019",Jim Cramer explains that bluebird bio's technology offerings make it attractive for a potential takeover.,"Cramer Remix: I think this is a great spec play that could get acquired  8:21  PM ET Wed, 29 May 2019 Jim Cramer explains that bluebird bio's technology offerings make it attractive for a potential takeover.",cramer remix think great spec play could get acquired pm et wed may jim cramer explains bluebird bio technology offerings make attractive potential takeover
Cramer's lightning round: We sold Anadarko. It's time to move on," 8:16  PM ET Wed, 29 May 2019",Jim Cramer talks with viewers and gives his thoughts about their stock picks of the day.,"Cramer's lightning round: We sold Anadarko. It's time to move on  8:16  PM ET Wed, 29 May 2019 Jim Cramer talks with viewers and gives his thoughts about their stock picks of the day.",cramer lightning round sold anadarko time move pm et wed may jim cramer talks viewers gives thoughts stock picks day
"Agco CEO: We're focused on improving our margins, not on China"," 7:06  PM ET Wed, 29 May 2019","Agco, an agricultural equipment manufacturer based in Georgia, upped its full-year earnings guidance by almost 30 cents.","Agco CEO: We're focused on improving our margins, not on China  7:06  PM ET Wed, 29 May 2019 Agco, an agricultural equipment manufacturer based in Georgia, upped its full-year earnings guidance by almost 30 cents.",agco ceo focused improving margins china pm et wed may agco agricultural equipment manufacturer based georgia upped full year earnings guidance almost cents
,,,  ,
"Jim Cramer: It's time to start buying amid market weakness, but take it slow"," 6:57  PM ET Wed, 29 May 2019","""Now that people are really freaking out ... I think it's time to start picking up stocks into weakness,"" Jim Cramer says.","Jim Cramer: It's time to start buying amid market weakness, but take it slow  6:57  PM ET Wed, 29 May 2019 ""Now that people are really freaking out ... I think it's time to start picking up stocks into weakness,"" Jim Cramer says.",jim cramer time start buying amid market weakness take slow pm et wed may people really freaking think time start picking stocks weakness jim cramer says
